"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source"
"8/23/2026","HYP42560040","Product","Reacted-Acne/Pimples","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","DELHIVERY","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP43836430","Product","Reacted-Skin Irritation","BRIGHTENING FACE SERUM - 5% NIACINAMIDE 1% ALPHA ARBUTIN 25% KAKADU PLUM-30ML","HYPMUBX003F030","","DELHIVERY","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP42711050","Product","Reacted-Acne/Pimples","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/21/2026","HYP43807150","Product","Burning Sensation","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","ElasticRun","8_Aug'26","8_Aug Week 3","whatsapp"
"8/20/2026","HYP41480020","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DTDC","8_Aug'26","8_Aug Week 3","whatsapp"
"8/20/2026","HYP41548070","Product","Change in Smell","Ceramides Milky Toner Essence With 5% Rice Water Blend - 100 ml","HYPMUBX027F100","","DELHIVERY","8_Aug'26","8_Aug Week 3","whatsapp"
"8/20/2026","HYP41079840","Product","Texture Issue","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 3","whatsapp"
"8/20/2026","HYP40056460","Product","Change in color","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","DELHIVERY","8_Aug'26","8_Aug Week 3","whatsapp"
"8/19/2026","HYP40084710","Product","Change in Smell","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","Xpressbees","8_Aug'26","8_Aug Week 3","whatsapp"
"8/18/2026","HYP40608180","Product","Reacted-Skin Irritation","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 3","whatsapp"
"8/12/2026","HYP42919740","Product","Texture Issue","VIP MARSHMALLOW LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX023F010","","Shadowfax","8_Aug'26","8_Aug Week 2","whatsapp"
"8/10/2026","HYP40382340","Product","Product not Effective","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","Shadowfax","8_Aug'26","8_Aug Week 2","whatsapp"
"8/8/2026","HYP41551380","Product","Product not Effective","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","Xpressbees","8_Aug'26","8_Aug Week 2","whatsapp"
"8/8/2026","HYP40602120","Product","Product not Effective","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 2","whatsapp"
